date,WC220,WC310,WC210,WC330,Average
199101000000,17.06,-1,-1,-1,17.06
199102000000,10.76666667,-1,-1,-1,10.76666667
199103000000,14.15,-1,-1,-1,14.15
199104000000,15.55,13.0827957,-1,-1,14.31639785
199105000000,17,12.48909091,-1,14.71685714,14.73531602
199106000000,15.45,11.65740741,-1,15.99,14.36580247
199107000000,17.54,13.4,-1,12.10672043,14.34890681
199108000000,13.2,7.557142857,-1,3.094462366,7.950535074
199109000000,4.025,3.203571429,-1,1.146,2.79152381
199110000000,8.783333333,4.211764706,-1,0.479569892,4.491555977
199111000000,13.975,10.5,-1,8.832055556,11.10235185
199112000000,11.16666667,-1,-1,9.71688172,10.4417742
199201000000,13.4,13,-1,11.20360215,12.53453405
199202000000,11.22857143,10.16666667,-1,9.847471264,10.41423645
199203000000,12.58125,11.20769231,-1,10.75096774,11.51330335
199204000000,12.88666667,12.61794872,-1,9.868111111,11.79090883
199205000000,16.5,15.22,-1,13.0927957,14.93759857
199206000000,13.2,10.74166667,13,10.8,11.93541667
199207000000,13.26515152,10.83333333,13.85,8.966989247,11.72886852
199208000000,11.195,9.754166667,11.825,9.953387097,10.68188844
199209000000,10.97708333,5.7625,8.76,5.237444444,7.684256944
199210000000,11.971875,6.375,11,2.498978495,7.961463374
199211000000,10.42615385,9.154545455,9.8,8.6845,9.516299826
199212000000,9.908333333,8.357142857,9.58,10.02967742,9.468788403
199301000000,11.975,10.4,10.76666667,9.464139785,10.65145161
199302000000,7.958333333,9.45,9.5,7.953690476,8.715505952
199303000000,5.108333333,4.2375,5.25,4.661397849,4.814307796
199304000000,8.9859375,9.375,8.55,8.329333333,8.810067708
199305000000,10.74903846,11.48292683,10.94,9.147688172,10.57991337
199306000000,13.08165138,11.85510204,12.45074627,10.81955556,12.05176381
199307000000,9.677659574,6.724193548,8.503389831,7.441021505,8.086566115
199308000000,8.93559322,6.593939394,7.780645161,7.55016129,7.715084766
199309000000,8.917241379,8.804166667,8.665714286,8.102833333,8.622488916
199310000000,10.06666667,10.0375,9.041935484,8.79827957,9.486095431
199311000000,10.5,8.233333333,10.12222222,7.960388889,9.203986111
199312000000,8.9,8.92,8.9,7.516666667,8.559166667
199401000000,9.775,10.575,11.525,8.14483871,10.00495968
199402000000,8.7,9.225,9.65,7.214166667,8.697291667
199403000000,8.733333333,8.4875,8.755555556,7.093010753,8.267349911
199404000000,9.375,7.723529412,9.142857143,5.685833333,7.981804972
199405000000,8.05,7.214285714,8.075,5.788333333,7.281904762
199406000000,10.6,8.534615385,10.93333333,6.369611111,9.109389957
199407000000,10.1,4.28,11.575,2.162204301,7.029301075
199408000000,3.466666667,0.0625,9.733333333,0.60327957,3.466444893
199409000000,0.425,3.56875,8.4,0.997833333,3.347895833
199410000000,6.075,5.84375,7.975,2.855913978,5.687415995
199411000000,6.92,6,7.5,4.125944444,6.136486111
199412000000,7.5,6.575,7.875,5.604892473,6.888723118
199501000000,7.14,6.58,7.5,6.402096774,6.905524194
199502000000,6.9,5.95,6.625,5.114047619,6.147261905
199503000000,9.65,7.72,8.37,6.107903226,7.961975807
199504000000,13.3137931,9.633333333,11.21818182,8.814,10.74482706
199505000000,20.20526316,14.74594595,16.67444444,14.14182796,16.44187038
199506000000,20.53809524,15.58,16.56666667,14.79088889,16.8689127
199507000000,17.80588235,13.55,14.6375,11.62284946,14.40405795
199508000000,12.52857143,4.32,12.46,2.519731183,7.957075653
199509000000,-1,-0.383333333,-1,0.470222222,0.086888889
199510000000,-1,-1,-1,1.056451613,1.056451613
199511000000,1.96,2.307692308,8.3,0.540888889,3.277145299
199512000000,-1,2.666666667,8.6,0.817204301,4.027956989
199601000000,3.733333333,4.725,9.8,1.455430108,4.92844086
199602000000,6.15,4.55,5.975,3.644942529,5.079985632
199603000000,5.307692308,5.05,6.7,3.567043011,5.15618383
199604000000,8.428571429,4.68,8.1,2.898777778,6.026837302
199605000000,14.29056604,10.53728814,14.50526316,8.814677419,12.03694869
199606000000,19.55866667,16.01052632,17.71451613,15.53866667,17.20559395
199607000000,20.05,14.254,17.57,14.54962366,16.60590592
199608000000,13.7,8.635555556,13.95,7.470967742,10.93913082
199609000000,11.175,6.487878788,15.575,3.368555556,9.151608586
199610000000,15.34,11.2893617,14.54285714,9.235107527,12.60183159
199611000000,14.75416667,12.521875,13.94615385,12.626,13.46204888
199612000000,13.86666667,13.31666667,12.72,12.32833333,13.05791667
199701000000,10.68,9.9,9.05,9.954892473,9.896223118
199702000000,6.42,7.55,7.575,7.042380952,7.146845238
199703000000,9.93125,8.2,9.44,7.682526882,8.813444221
199704000000,11.90416667,10.35384615,10.29,9.665833333,10.55346154
199705000000,12.79662921,11.42555556,12.221875,10.87822581,11.8305714
199706000000,14.18148148,13.34,13.72424242,12.99472222,13.56011153
199707000000,14.12465753,9.997560976,10.40714286,10.45451613,11.24596937
199708000000,12.68333333,7.4,12.725,4.285913978,9.273561827
199709000000,-1,-0.084210526,12.2,0.756444444,4.290744639
199710000000,11.55,6.096666667,10.7,1.222204301,7.392217742
199711000000,10.94285714,10.20555556,11.45,8.962944444,10.39033929
199712000000,10.82,10.44,11.1,10.09123656,10.61280914
199801000000,10.7,9.975,10.65,10.57204301,10.47426075
199802000000,10.325,10.05,10.55,9.294642857,10.05491071
199803000000,10.43333333,11.28,12.8,11.6055914,11.52973118
199804000000,13.54642857,13.59148936,14.93684211,13.45338889,13.88203723
199805000000,13.73,13.47073171,16.1,12.41994624,13.93016949
199806000000,10.93090909,8.310344828,10.97755102,9.787111111,10.00147901
199807000000,10.22972973,7.922222222,11.24,11.19150538,10.14586433
199808000000,7.56,7.85,10.675,6.357526882,8.110631721
199809000000,8.253703704,6.323529412,12.725,2.738777778,7.510252724
199810000000,7.528571429,7.644642857,13.36,6.53844086,8.767913787
199811000000,8.740909091,9.96557377,12.08,9.242388889,10.00721794
199812000000,8.8,9.9,12.86,9.451827957,10.25295699
199901000000,8.25,9.175,12.825,8.050698925,9.575174731
199902000000,7.675,8.75,9.775,8.240297619,8.610074405
199903000000,8.7,10,11.35,9.051505376,9.775376344
199904000000,10.87857143,13.56034483,16.11621622,12.08394444,13.15976923
199905000000,12.01290323,14.59824561,15.32222222,14.18387097,14.02931051
199906000000,13.55789474,17.64716981,18.76666667,16.60116667,16.64322447
199907000000,13.97,14.63043478,17.68888889,12.71150538,14.75020726
199908000000,7.909090909,8.566666667,12.048,6.271505376,8.698815738
199909000000,-1,1.588095238,13.95,0.5575,5.365198413
199910000000,-1,0.847619048,-1,0,0.423809524
199911000000,-1,0.644444444,-1,0,0.322222222
199912000000,-1,2.93,-1,0,1.465
200001000000,-1,7.666666667,-1,0,3.833333334
200002000000,5.7,8.107142857,10.13333333,2.058678161,6.499788587
200003000000,9.28,10.64285714,17.12,5.692526882,10.68384601
200004000000,9.625,8.938709677,17.725,2.134611111,9.605830197
200005000000,12.3625,8.641666667,18.3,1.408602151,10.1781922
200006000000,10.82580645,13.60526316,16.22941176,11.20944444,12.96748145
200007000000,11.76363636,8.976923077,19.04285714,8.110107527,11.97338103
200008000000,7.8,-0.623076923,-1,3.295322581,3.490748553
200009000000,-1,-1,-1,3.593388889,3.593388889
200010000000,-1,-1,-1,3.891451613,3.891451613
200011000000,-1,0.241666667,-1,4.189444444,2.215555556
200012000000,-1,-1,-1,4.487580645,4.487580645
200101000000,-1,1.5,-1,4.790376344,3.145188172
200102000000,6.1,2.4,7.6,5.097142857,5.299285714
200103000000,5.855555556,6.057142857,9.222222222,7.884677419,7.254899514
200104000000,11.69032258,14.12941176,15.84594595,13.25872222,13.73110063
200105000000,16.57058824,19.73538462,21.91466667,17.29102151,18.87791526
200106000000,19.68636364,22.48421053,26.22173913,21.69055556,22.52071722
200107000000,19.025,11.02727273,25.32,14.21677419,17.39726173
200108000000,13.9,1.195454545,-1,1.118387097,5.404613881
200109000000,13.18333333,3.196296296,-1,2.418444444,6.26602469
200110000000,12.1,2.3625,-1,1.332580645,5.265026882
200111000000,14.5,3.246153846,-1,1.338555556,6.361569801
200112000000,-1,11.175,-1,6.185698925,8.680349463
200201000000,16.75,10.9,-1,7.848548387,11.83284946
200202000000,13.63333333,10.275,13.45,7.482142857,11.21011905
